gen ave_objective1 std_objective1 ave_objective2 std_objective2 ave_Y std_Y ave_X std_X time
96 0.00380969 0.01285585 0.00413795 0.01410902 -0.0004 0.0015 -0.0036 0.0129 0.4
97 0.00356211 0.01239032 0.00385259 0.01369766 -0.0004 0.0015 -0.0033 0.0125 0.4
98 0.02441150 0.12379956 0.02521381 0.12828123 -0.0000 0.0005 0.0244 0.1238 0.4
99 0.04522177 0.16065507 0.05319496 0.16770295 -0.0065 0.0336 0.0451 0.1607 0.4
100 0.00022534 0.00072516 0.00733121 0.03719631 -0.0073 0.0368 0.0001 0.0000 0.4
101 0.00008135 0.00005456 0.00076269 0.00371096 -0.0008 0.0037 0.0001 0.0001 0.4
102 0.01839113 0.09344698 0.01919849 0.09177322 -0.0017 0.0064 0.0184 0.0934 0.4
103 0.04988318 0.15247032 0.05046283 0.15200094 -0.0014 0.0062 0.0499 0.1525 0.4
104 0.03776479 0.13036363 0.05470768 0.15464334 -0.0193 0.0909 0.0022 0.1356 0.5
105 0.02337268 0.07605094 0.09102992 0.19352937 -0.0135 0.1966 0.0091 0.0782 0.5
106 0.01977050 0.05467615 0.14026802 0.20131104 0.0453 0.2280 0.0076 0.0560 0.5
107 0.02687697 0.04331796 0.14307629 0.16345599 0.0047 0.2107 0.0088 0.0488 0.5
108 0.05712104 0.17459709 0.18925490 0.23495339 0.0528 0.2277 0.0491 0.1763 0.5
109 0.05011513 0.18818176 0.13301421 0.21826627 0.0649 0.1449 0.0443 0.1894 0.5
110 0.05389601 0.18802825 0.15898340 0.26175872 0.0192 0.2279 0.0438 0.1899 0.5
111 0.06877955 0.22017452 0.13570476 0.29932870 0.0653 0.1465 0.0606 0.2191 0.5
112 0.03143710 0.07991988 0.05582752 0.10786550 0.0177 0.0699 -0.0240 0.0823 0.5
113 0.05093772 0.11356919 0.06967808 0.13159696 0.0216 0.0836 -0.0392 0.1179 0.5
114 0.04308503 0.09348620 0.06235420 0.11771156 -0.0018 0.0969 -0.0331 0.0970 0.5
115 0.00820407 0.02016752 0.02522224 0.07368104 0.0257 0.0825 -0.0049 0.0200 0.5
116 0.02951922 0.09009270 0.03724838 0.09724578 0.0118 0.0635 -0.0237 0.0915 0.5
117 0.00947011 0.02005321 0.02294389 0.04280344 0.0106 0.0564 -0.0076 0.0201 0.5
118 0.00603316 0.01302345 0.02883247 0.06954453 0.0198 0.0750 -0.0033 0.0129 0.5
119 0.00308396 0.00759114 0.01829755 0.04650653 0.0015 0.0532 -0.0022 0.0075 0.5
120 0.00174734 0.00592509 0.00724751 0.02038421 0.0053 0.0245 -0.0012 0.0059 0.5
121 0.03131774 0.15265821 0.03613056 0.15849355 -0.0012 0.0102 0.0297 0.1530 0.5
122 0.04452994 0.16586401 0.04996056 0.17134355 -0.0024 0.0113 0.0160 0.1710 0.5
123 0.06957337 0.21110310 0.07232918 0.21994169 -0.0003 0.0017 0.0045 0.2222 0.5
124 0.02634007 0.10055679 0.03913225 0.12195848 -0.0146 0.0740 -0.0143 0.1028 0.5
125 0.06334145 0.16925611 0.06769509 0.17352905 0.0028 0.0139 -0.0567 0.1716 0.5
126 0.07600276 0.19486255 0.08088234 0.20049376 0.0028 0.0139 -0.0729 0.1960 0.5
127 0.03821515 0.14232083 0.07134588 0.24513183 -0.0341 0.1742 0.0224 0.1418 0.5
128 0.01346827 0.05384449 0.01362513 0.05459578 -0.0000 0.0000 0.0104 0.0545 0.6
129 0.00226646 0.00822704 0.00227910 0.00826070 -0.0000 0.0000 -0.0023 0.0082 0.6
130 0.03862946 0.18616325 0.06437553 0.23080091 -0.0248 0.1263 -0.0362 0.1865 0.6
131 0.09110612 0.26169570 0.13146841 0.29598353 -0.0375 0.1346 -0.0825 0.2644 0.6
132 0.10751841 0.22866230 0.14727045 0.28306857 -0.0382 0.1466 -0.0479 0.2474 0.6
133 0.04070766 0.14528019 0.05676891 0.20082767 -0.0160 0.0581 -0.0403 0.1441 0.6
134 0.00000479 0.00000279 0.00000482 0.00000567 -0.0000 0.0000 0.0000 0.0000 0.6
135 0.00273665 0.01392637 0.03317561 0.16914261 -0.0318 0.1622 0.0000 0.0000 0.6
136 0.00000475 0.00000283 0.00000519 0.00000734 -0.0000 0.0000 0.0000 0.0000 0.6
137 0.00000411 0.00000265 0.00000530 0.00000586 -0.0000 0.0000 0.0000 0.0000 0.6
138 0.00000394 0.00000248 0.00000507 0.00000548 -0.0000 0.0000 0.0000 0.0000 0.6
139 0.00000372 0.00000244 0.00000520 0.00000547 -0.0000 0.0000 0.0000 0.0000 0.6
140 0.00000400 0.00000270 0.00000503 0.00000587 -0.0000 0.0000 0.0000 0.0000 0.6
141 0.00158150 0.00739661 0.03084537 0.12557481 -0.0163 0.1245 0.0000 0.0000 0.6
142 0.00282598 0.01439097 0.03374638 0.17204766 0.0323 0.1649 0.0000 0.0000 0.6
143 0.00000367 0.00000268 0.00000462 0.00000559 -0.0000 0.0000 0.0000 0.0000 0.6
144 0.00000416 0.00000245 0.00000401 0.00000552 -0.0000 0.0000 0.0000 0.0000 0.6
145 0.00000419 0.00000259 0.00000414 0.00000581 -0.0000 0.0000 0.0000 0.0000 0.6
146 0.00120716 0.00613665 0.00121319 0.00615310 -0.0000 0.0000 -0.0012 0.0061 0.6
147 0.00053980 0.00272823 0.00053970 0.00273143 -0.0000 0.0000 0.0005 0.0027 0.6
148 0.00836515 0.04102832 0.00845140 0.04147376 -0.0000 0.0000 0.0084 0.0410 0.6
149 0.00296220 0.01109642 0.00296735 0.01112563 -0.0000 0.0000 0.0029 0.0111 0.6
150 0.00063211 0.00189791 0.00063365 0.00189914 -0.0000 0.0000 0.0000 0.0020 0.6
151 0.00046520 0.00174164 0.00046636 0.00174343 -0.0000 0.0000 -0.0002 0.0018 0.6
152 0.06232154 0.22176203 0.06497862 0.23133646 -0.0000 0.0000 0.0071 0.2302 0.6
153 0.05096380 0.14589124 0.05216042 0.15016374 -0.0000 0.0000 0.0002 0.1545 0.6
154 0.08015515 0.20189966 0.08251620 0.21075807 -0.0000 0.0000 -0.0285 0.2153 0.7
155 0.04514847 0.09681906 0.04571840 0.09817529 -0.0000 0.0000 -0.0038 0.1068 0.7
156 0.01225893 0.02653660 0.01230043 0.02663820 -0.0000 0.0000 0.0043 0.0289 0.7
157 0.00842797 0.02338478 0.00845861 0.02349020 -0.0000 0.0000 0.0023 0.0248 0.7
158 0.05162747 0.17780798 0.05334155 0.18464354 -0.0000 0.0000 -0.0437 0.1799 0.7
159 0.02944617 0.09689846 0.02995863 0.09877994 -0.0000 0.0000 -0.0247 0.0982 0.7
160 0.02331625 0.06109489 0.05698798 0.19341654 -0.0351 0.1792 -0.0125 0.0618 0.7
161 0.01520512 0.03276527 0.06289436 0.20127966 -0.0244 0.1977 -0.0001 0.0305 0.7
162 0.00586339 0.01897268 0.06967765 0.20926792 -0.0288 0.2093 0.0007 0.0043 0.7
163 0.00332010 0.00711414 0.03261974 0.11025795 -0.0197 0.1103 0.0017 0.0049 0.7
164 0.00362155 0.00661275 0.02334249 0.05713452 0.0088 0.0606 0.0022 0.0070 0.7
165 0.00346533 0.00821731 0.01841735 0.05330779 0.0134 0.0533 0.0030 0.0083 0.7
166 0.00451538 0.00884681 0.03386434 0.06978749 0.0260 0.0716 0.0034 0.0091 0.7
167 0.01383349 0.04318023 0.05417010 0.11133720 0.0352 0.1078 0.0103 0.0440 0.7
168 0.00684320 0.01679555 0.04396003 0.10742552 0.0380 0.1058 -0.0044 0.0170 0.7
169 0.00263239 0.00468546 0.02199711 0.07735662 0.0189 0.0767 -0.0020 0.0039 0.7
170 0.00223050 0.00456958 0.01656249 0.03784591 0.0148 0.0386 -0.0019 0.0046 0.7
171 0.00316405 0.00580016 0.03592760 0.08660288 0.0329 0.0860 -0.0019 0.0055 0.7
172 0.03581348 0.15311478 0.08882461 0.19520641 0.0464 0.1281 0.0322 0.1538 0.7
173 0.00623825 0.02102647 0.05581965 0.14586227 0.0507 0.1418 0.0039 0.0200 0.7
174 0.01584444 0.03833911 0.02369435 0.04214376 0.0069 0.0215 0.0157 0.0384 0.7
175 0.01169373 0.03293467 0.01879013 0.03878528 0.0052 0.0198 0.0116 0.0329 0.7
176 0.01481132 0.03765800 0.01675642 0.04067985 0.0019 0.0067 0.0148 0.0377 0.7
177 0.01836202 0.05088846 0.01854760 0.05095936 0.0001 0.0021 0.0159 0.0517 0.7
178 0.01366018 0.04449680 0.01391113 0.04512936 0.0001 0.0009 0.0124 0.0449 0.7
179 0.02703195 0.13433525 0.02795426 0.13912012 -0.0001 0.0005 0.0258 0.1346 0.8
180 0.00064950 0.00312037 0.00063851 0.00304979 0.0000 0.0001 -0.0006 0.0031 0.8
181 0.00451637 0.01580438 0.05979941 0.21131086 0.0012 0.2114 -0.0000 0.0002 0.8
182 0.00500548 0.01652292 0.07772379 0.21671926 -0.0092 0.2217 -0.0000 0.0003 0.8
183 0.00150087 0.00698809 0.02992773 0.11952381 0.0160 0.1186 -0.0001 0.0003 0.8
184 0.01635554 0.06433190 0.06511325 0.20128467 0.0504 0.1917 0.0124 0.0634 0.8
185 0.05401484 0.18789683 0.12534626 0.30470774 0.0571 0.2454 -0.0228 0.1928 0.8
186 0.05968433 0.19267160 0.09987723 0.26226690 0.0264 0.1825 -0.0308 0.1986 0.8
187 0.02387598 0.06276633 0.02505711 0.05186908 -0.0102 0.0262 0.0140 0.0656 0.8
188 0.01691183 0.04348552 0.01928580 0.03980104 -0.0066 0.0162 0.0068 0.0461 0.8
189 0.00898716 0.01419264 0.00875089 0.01415340 0.0002 0.0013 -0.0050 0.0160 0.8
190 0.00085665 0.00150701 0.00466584 0.01955472 0.0038 0.0200 -0.0001 0.0017 0.8
191 0.00102980 0.00181294 0.00793678 0.02521666 0.0072 0.0260 0.0004 0.0019 0.8
192 0.00070963 0.00102374 0.00552483 0.01776408 0.0044 0.0182 -0.0001 0.0012 0.8
193 0.00083939 0.00118229 0.00974538 0.02329169 0.0086 0.0240 0.0002 0.0014 0.8
194 0.00058068 0.00082294 0.00867517 0.02199490 0.0067 0.0230 -0.0000 0.0009 0.8
195 0.00033763 0.00076936 0.00129104 0.00180213 -0.0012 0.0024 0.0002 0.0008 0.8
196 0.00499876 0.01844174 0.05968857 0.21521318 -0.0177 0.2133 0.0003 0.0010 0.8
197 0.00597762 0.01894051 0.07926204 0.23125369 -0.0295 0.2330 0.0002 0.0009 0.8
198 0.00306682 0.00733359 0.06985167 0.15771176 -0.0051 0.1686 0.0001 0.0006 0.8
199 0.00049660 0.00127563 0.02399353 0.05779907 -0.0050 0.0619 -0.0001 0.0003 0.8
200 0.00014183 0.00050692 0.01020960 0.02520430 0.0043 0.0269 -0.0001 0.0003 0.8
201 0.00003286 0.00004971 0.00539879 0.01161045 0.0049 0.0118 -0.0000 0.0000 0.8
